geocode,Municipio,value
3502507,Aparecida,"5,20796978260372"
3503158,Arapeí,"4,18023653818418"
3503505,Areias,"9,26750018828133"
3504909,Bananal,"3,90801161683301"
3508504,Caçapava,"3,23480931943676"
3508603,Cachoeira Paulista,"5,4248600246163"
3509700,Campos do Jordão,"4,40874944060804"
3509957,Canas,"8,87977143634053"
3510500,Caraguatatuba,"4,52623911510869"
3513405,Cruzeiro,"3,82451312597327"
3513603,Cunha,"7,91770335926449"
3518404,Guaratinguetá,"2,50616945332847"
3520202,Igaratá,"6,11506688195957"
3520400,Ilhabela,"2,89702471240582"
3524402,Jacareí,"2,58891020125284"
3524907,Jambeiro,"1,09094788918203"
3526308,Lagoinha,"6,71796772085013"
3526605,Lavrinhas,"6,52593542910871"
3527207,Lorena,"3,4257206169571"
3531704,Monteiro Lobato,"7,06230259359669"
3532306,Natividade da Serra,"7,0787990201753"
3535606,Paraibuna,"6,15100970681611"
3538006,Pindamonhangaba,"3,85036639160626"
3538501,Piquete,"1,26807504208796"
3540754,Potim,10
3541901,Queluz,"6,07118334170989"
3542305,Redenção da Serra,"8,49150428862217"
3544301,Roseira,"4,87055898421483"
3546009,Santa Branca,"4,72499002505028"
3548203,Santo Antônio do Pinhal,"6,35635669311117"
3548609,São Bento do Sapucaí,"3,82856156910144"
3549607,São José do Barreiro,"7,72536224199077"
3549904,São José dos Campos,"0,5332807715068"
3550001,São Luís do Paraitinga,"7,80883541739195"
3550704,São Sebastião,"3,18815338604951"
3552007,Silveiras,"7,22089932737637"
3554102,Taubaté,0
3554805,Tremembé,"4,64788162539138"
3555406,Ubatuba,"6,06191285777725"
