geocode,Municipio,value
3502507,Aparecida,"4,46468432841073"
3503158,Arapeí,"7,06971260113041"
3503505,Areias,"8,87914474609778"
3504909,Bananal,"6,72308190125126"
3508504,Caçapava,"4,82809619842669"
3508603,Cachoeira Paulista,"7,06839129487117"
3509700,Campos do Jordão,"6,90893703058071"
3509957,Canas,"9,80536250793228"
3510500,Caraguatatuba,0
3513405,Cruzeiro,"4,30542517756095"
3513603,Cunha,"6,65274288832698"
3518404,Guaratinguetá,"5,39435796113585"
3520202,Igaratá,"8,20746406759233"
3520400,Ilhabela,"3,78485812600613"
3524402,Jacareí,"5,48178040533735"
3524907,Jambeiro,"9,90312129348311"
3526308,Lagoinha,"9,66535575791763"
3526605,Lavrinhas,"9,20793935389214"
3527207,Lorena,"3,83089851705506"
3531704,Monteiro Lobato,"9,48094915658349"
3532306,Natividade da Serra,"9,67378135040658"
3535606,Paraibuna,"8,39154115610485"
3538006,Pindamonhangaba,"4,65059383654736"
3538501,Piquete,"9,06676248903418"
3540754,Potim,"8,71128268074478"
3541901,Queluz,"5,87353437026662"
3542305,Redenção da Serra,"8,9524952976991"
3544301,Roseira,"7,57424314498253"
3546009,Santa Branca,10
3548203,Santo Antônio do Pinhal,"7,47598149119212"
3548609,São Bento do Sapucaí,"7,34476071721546"
3549607,São José do Barreiro,"7,99794514852677"
3549904,São José dos Campos,"5,21101325444623"
3550001,São Luís do Paraitinga,"6,57261012953953"
3550704,São Sebastião,"3,45465340687491"
3552007,Silveiras,"9,57586454328643"
3554102,Taubaté,"2,77857780457328"
3554805,Tremembé,"7,07914925160798"
3555406,Ubatuba,"5,25094783875535"
