geocode,Municipio,value
3502507,Aparecida,"4,26293184473318"
3503158,Arapeí,"4,58645698535596"
3503505,Areias,"6,79504450671451"
3504909,Bananal,"2,38902703769729"
3508504,Caçapava,"0,92530779212789"
3508603,Cachoeira Paulista,"1,22527592191079"
3509700,Campos do Jordão,"1,02582326865198"
3509957,Canas,"3,76066213105595"
3510500,Caraguatatuba,"1,0621286911017"
3513405,Cruzeiro,"4,36498757615622"
3513603,Cunha,10
3518404,Guaratinguetá,"3,36458242013829"
3520202,Igaratá,"4,66761955477727"
3520400,Ilhabela,"6,6701941321979"
3524402,Jacareí,"1,38574778462107"
3524907,Jambeiro,"3,50995118195457"
3526308,Lagoinha,"6,45133514860834"
3526605,Lavrinhas,"4,04327694107451"
3527207,Lorena,"0,35281089386588"
3531704,Monteiro Lobato,"3,58214372345112"
3532306,Natividade da Serra,"7,19143256658995"
3535606,Paraibuna,"7,3113828944398"
3538006,Pindamonhangaba,"0,48675745742663"
3538501,Piquete,"6,19960448908246"
3540754,Potim,"4,26749796727834"
3541901,Queluz,"4,9179286832008"
3542305,Redenção da Serra,"5,43093319874724"
3544301,Roseira,"2,25458373445014"
3546009,Santa Branca,"6,13322317839167"
3548203,Santo Antônio do Pinhal,"3,64152867801068"
3548609,São Bento do Sapucaí,"6,50666494771805"
3549607,São José do Barreiro,"5,81154261250179"
3549904,São José dos Campos,"0,23907755521124"
3550001,São Luís do Paraitinga,"4,43717644067359"
3550704,São Sebastião,"3,32595524536121"
3552007,Silveiras,"5,51545523800582"
3554102,Taubaté,0
3554805,Tremembé,"1,04153958347656"
3555406,Ubatuba,"7,08103354760747"
