geocode,Municipio,value
3502507,Aparecida,"4,64519531858254"
3503158,Arapeí,"5,27880204155685"
3503505,Areias,"8,31389648036454"
3504909,Bananal,"4,34004018526052"
3508504,Caçapava,"2,99607110333044"
3508603,Cachoeira Paulista,"4,57284241379942"
3509700,Campos do Jordão,"4,11450324661358"
3509957,Canas,"7,48193202510958"
3510500,Caraguatatuba,"1,8627892687368"
3513405,Cruzeiro,"4,16497529323015"
3513603,Cunha,"8,19014874919716"
3518404,Guaratinguetá,"3,7550366115342"
3520202,Igaratá,"6,33005016810972"
3520400,Ilhabela,"4,45069232353662"
3524402,Jacareí,"3,15214613040375"
3524907,Jambeiro,"4,83467345487324"
3526308,Lagoinha,"7,61155287579203"
3526605,Lavrinhas,"6,59238390802512"
3527207,Lorena,"2,53647667595935"
3531704,Monteiro Lobato,"6,7084651578771"
3532306,Natividade da Serra,"7,98133764572394"
3535606,Paraibuna,"7,28464458578692"
3538006,Pindamonhangaba,"2,99590589519341"
3538501,Piquete,"5,51148067340153"
3540754,Potim,"7,65959354934104"
3541901,Queluz,"5,62088213172577"
3542305,Redenção da Serra,"7,62497759502284"
3544301,Roseira,"4,8997952878825"
3546009,Santa Branca,"6,95273773448065"
3548203,Santo Antônio do Pinhal,"5,82462228743799"
3548609,São Bento do Sapucaí,"5,89332907801165"
3549607,São José do Barreiro,"7,17828333433978"
3549904,São José dos Campos,"1,99445719372143"
3550001,São Luís do Paraitinga,"6,27287399586835"
3550704,São Sebastião,"3,32292067942854"
3552007,Silveiras,"7,43740636955621"
3554102,Taubaté,"0,92619260152443"
3554805,Tremembé,"4,25619015349197"
3555406,Ubatuba,"6,13129808138002"
